page	column	source_form	historical_gloss	pt_br	domain
280	a	Cacayacatimani	eſtar ralas las cañas enelcañaueral, o coſas ſemejantes.	estarem ralas as canas no canavial, ou coisas semelhantes	natureza
280	a	Cacayachilia	desboronar o deſmigajar algo a outro.	esfarelar ou esmigalhar algo para outrem	ações
280	a	Cacayactic	coſa rala, como manta, o arboleda, &c.	coisa rala, como manta ou arvoredo	propriedades
280	a	Cacayana	burlar o eſcarnecer de otro, o engañarle.	burlar, escarnecer de outrem ou enganá-lo	relações
280	a	Cacalaca	ſonar el caxcauel, o la vaſija de barro que tiene dentro pedrezuelas, o el cacao dañado quando lo cuentan, o echan enel ſuelo, o coſa ſemejante	soar o chocalho, ou vaso de barro com pedrinhas dentro, ou cacau danificado ao ser contado ou lançado ao chão	percepção
280	a	Cacalacaliztli	eſtruendo o ſonido de coſas quebradas.	estrondo ou som de coisas quebradas	percepção
280	a	Cacalachtli	caxcauel de barro,	chocalho de barro	objetos
280	a	Cacalaqui	andar de caſa en caſa.	andar de casa em casa	ações
280	a	Cacalaquia	acarrear y meter algo en alguna parte.	carregar e introduzir algo em alguma parte	ações
280	a	Cacalli	cueruo,	corvo	animais
280	a	Cacallotl	caxcara de nuez, o de coſaafsi.	casca de noz ou coisa parecida	plantas
280	a	Cacalotl	cueruo, o tenazuela de palo para deſpauilar candelas, o para comer granos de mayz toſtado enel teſcoldo.	corvo, ou tenaz de madeira para aparar velas ou comer grãos de milho tostado no borralho	animais
280	a	Cacamachaloa	boquear, o abrir y cerrar la boca muchas vezes.	boquejar, ou abrir e fechar a boca muitas vezes	corpo
280	a	Cacamatl	maçorcas pequeñas de mayz, que nacen cabe la maçorca mayor.	espigas pequenas de milho que nascem junto à espiga maior	plantas
280	a	Cacane	carrilludo.	bochechudo	corpo
280	a	Cacapaca	ſonar las chinelas o alcorques quãdo andan con ellas.	soarem os calçados ao andar	percepção
280	a	Cacapania	reſtallar o hazer cruxir los dedos eſtirandolos.	estalar os dedos esticando-os	corpo
280	b	Cacaqui	eſcuchar aſechando.	escutar à espreita	percepção
280	b	Cacatza	atar fuertemente alguna coſa, o embutir o recalcar algo.	atar fortemente algo, ou embutir ou recalcar	ações
280	b	Cacatzac	hombre negro, o negra.	pessoa negra	pessoas
280	b	Cacatzoa	deſperezarſe.	espreguiçar-se	corpo
280	b	Cacauaatl	beuida de cacao.	bebida de cacau	alimentos
280	b	Cacauacentli	maçorca o piña de cacao.	espiga ou fruto de cacau	plantas
280	b	Cacauatl	grano de cacao.	grão de cacau	plantas
280	b	Cacaxtli	eſcalerillas de tablas para lleuar algo acueſtas el tameme, o cierto paxaro.	armação de tábuas para carga às costas de carregador, ou certo pássaro	objetos
290	a	Cecenyoal	cada noche.	a cada noite	tempo
290	a	Cecenquiauatempan	a cada puerta.	a cada porta	espaço
290	a	Cecentepan	en cada pueblo o ciudad.	em cada povoado ou cidade	sociedade
290	a	Cecentianquiztli	el que en todas partes tiene ruyn fama.	aquele que em todas as partes tem má fama	pessoas
290	a	Cecentin	ſendos. o cada ſendos .ſ. ſe les dará.	um para cada um	quantidade
290	a	Cecentlacamecayotl	cada linaje.	cada linhagem	parentesco
290	a	Cecentlacatl	cada vna perſona, o cada qual.	cada pessoa, ou cada qual	pessoas
290	a	Cecentlacxiliztica	paſſo a paſſo. Aduerbio.	passo a passo	movimento
290	a	Cecentlalia	ayuntar o recoger razones en fauor de algun negocio.	reunir ou recolher razões em favor de algum negócio	comunicação
290	a	Cecentlalpilpan	manojo amanojo.	feixe a feixe	quantidade
290	a	Cecentlamanca	eſtar las partes cada vna por ſi, diuididas y apartadas vnas de otras.	estarem as partes cada uma por si, divididas e separadas umas das outras	espaço
290	a	Cecentlamantli	cada vna coſa.	cada coisa	quantidade
290	a	Cecepatic	coſa muy fria. Et per metaphoram. coſa muy eſpantable.	coisa muito fria; metaforicamente, coisa muito espantosa	natureza
290	a	Cecepoa	entomecerſe alguna parte del cuerpo.	entorpecer-se alguma parte do corpo	corpo
290	a	Cecepoac	entomecido o tollido.	entorpecido ou entrevado	corpo
290	a	Ceceppa	cada ſendas vezes. Aduerbio.	uma vez para cada um	quantidade
290	a	Ceceuia	deſcanſar a ratos.	descansar a intervalos	ações
290	a	Cecexiuitl	cada año. Aduerbio.	a cada ano	tempo
290	a	Ceciyacatl	vn braçado.	uma braçada	quantidade
290	a	Cecmiqui	morirſe de frio.	morrer de frio	natureza
290	a	Cecni	en otra parte o lugar, o en cierta parte, o por ſi aparte. Aduerbio.	em outra parte ou lugar, ou à parte	espaço
290	b	Ceehecatl	cierço, viento aquilonar.	vento norte ou frio	natureza
290	b	Ceyotl	tuetano de hueſſo.	tutano de osso	corpo
290	b	Celtiliztli	verdor, o freſcura de arbol que brota y retoñece.	verdor ou frescor de árvore que brota e renova	plantas
290	b	Cemanauac	el mundo.	o mundo	natureza
