page	column	source_form	historical_gloss	pt_br	domain
265	a	Acuecueyachin	ſanguijuela.	sanguessuga	animais
265	a	Acueyotl	ola. vel. onda de agua.	onda de água	natureza
265	a	Acxoyatototl	cierto paxaro.	pássaro não identificado	animais
265	a	Ahauializpan	en alegria.	em alegria	emoções
265	a	Ahauializtica	alegremente. aduerbio.	alegremente	emoções
265	a	Ahauializtli	alegria.	alegria	emoções
265	a	Ahauiani	plazentero.	alegre; agradável	emoções
265	a	Ahauilnemiliztli	rufianeria o luxuria.	libertinagem ou luxúria	sociedade
265	a	Ahauixca	alegremente. aduerbio.	alegremente	emoções
265	a	Ahqua	ay ay.	ai, ai	expressões
265	a	Ahuachia	rociarſe.	borrifar-se	ações
265	a	Ahuilia	regar la huerta o los trigos.	regar a horta ou o trigo	trabalho
265	b	Ayac	ninguno, o nadie,	nenhum; ninguém	relações
265	b	Ayacachtli	ſonajas hechas a manera de dormideras.	chocalhos feitos à maneira de papoulas	objetos
265	b	Ayacan	aun en ninguna parte o lugar.	em lugar nenhum	espaço
265	b	Ayacma	nadie, o ninguno.	ninguém; nenhum	relações
265	b	Ayaya	apenas, o con dificultad.	apenas; com dificuldade	relações
265	b	Ayaic	aun nunca.	ainda nunca	tempo
265	b	Ayamo	aun no.	ainda não	tempo
265	b	Ayaquemman	temprano.	cedo	tempo
270	a	Amono	tampoco.	tampouco	relações
270	b	Amotlan	cabe voſotros, o con voſotros.	junto de vocês; com vocês	relações
270	b	Amouan	con voſotros.	com vocês	relações
270	b	Amoxcalli	libreria, o tienda de papel.	livraria ou loja de papel	comércio
270	b	Amoxnamacac	vendedor de libros.	vendedor de livros	comércio
270	b	Amoxnamacoyan	tienda de libros o de papel.	loja de livros ou de papel	comércio
270	b	Amoxpialoyan	libreria adonde ſe guardan los libros.	biblioteca onde se guardam livros	objetos
270	b	Amoxpoani	lector de libros,	leitor de livros	pessoas
270	b	Amoxtenmalhuiloni	margen de libro.	margem de livro	objetos
270	b	Amoxtepito	libro pequeño.	livro pequeno	objetos
270	b	Amoxtlacuilo	eſcriptor de libros.	escritor de livros	pessoas
270	b	Amoxtlatiloyan	libreria donde ſe guardan los libros.	biblioteca onde se guardam livros	objetos
270	b	Amoxtocaitl	titulo de libro.	título de livro	objetos
270	b	Amoxtontli	libro pequeño.	livro pequeno	objetos
270	b	Amoxxeloliztli	capitulo del libro.	capítulo de livro	objetos
300	a	Chicotlamatiliztli	ſoſpecha.	suspeita	cognição
300	a	Chicotlamatini	ſoſpechoſo o celoſo.	desconfiado ou ciumento	cognição
300	a	Chicotlapanqui	coſa no entera.	coisa incompleta	quantidade
300	a	Chicotlatetoliztli	desuario tal.	delírio referido na entrada	percepção
300	a	Chicotlaueliloc	loco atreſguado.	louco perturbado	percepção
300	b	Chicucxpa	ocho vezes.	oito vezes	quantidade
300	a	Chicuepoalli	ciento y ſeſenta.	cento e sessenta	quantidade
300	b	Chicunpoalli	ciento y quarenta.	cento e quarenta	quantidade
300	b	Chicunappa	nueue vezes.	nove vezes	quantidade
300	b	Chicunappoalli	ciento y ochenta.	cento e oitenta	quantidade
300	b	Chicuntetl	ſiete.	sete	quantidade
300	b	Chicuppa	ſiete vezes.	sete vezes	quantidade
300	b	Chiematl	azeite de chia.	óleo de chia	alimentos
300	b	Chilatl	aguachil, o agua de axi.	água de pimenta	alimentos
300	b	Chilchotl	axi o chilli verde.	pimenta verde	alimentos
