page	column	source_form	historical_gloss	pt_br	domain
320	a	Yacatia	aguzar o hazer punta, o ser el primero o delantero de los que caminan.	afiar; fazer ponta; estar à frente	movimento
320	a	Yacatitiuh	ir en la delantera.	ir à frente	movimento
320	a	Yacatl	nariz, o punta de algo.	nariz; ponta de algo	corpo
320	a	Yacatlaça	desnarigar a otro.	desnarigar outra pessoa	corpo
320	a	Yacatolli	mocos.	muco	corpo
320	a	Yacatomauac	hombre narigudo, o de gordas narizes.	homem narigudo	corpo
320	a	Yacatomoliuicayotl	lo alto de las ventanas dela nariz, o la xeta dellas.	parte alta das janelas do nariz	corpo
320	a	Yacatotona	gorgojo.	caruncho	animais
320	a	Yacatontli	gorgojuelo.	pequeno caruncho	animais
320	a	Yacatotl	gorgojo.	caruncho	animais
320	a	Yacattializtli	adelantamiento del que va en la delantera.	avanço de quem vai à frente	movimento
320	a	Yacatticatalia	anteponer o preferir alguna persona a otra.	antepor ou preferir uma pessoa a outra	relações
320	a	Yacattiuh	ir en la delantera.	ir à frente	movimento
320	a	Yacatto	primero o primeramente.	primeiro; primeiramente	tempo
320	a	Yacatzacuilia	lo mismo es que yacanamiqui.	mesmo que yacanamiqui	relações
320	a	Yacatzaptic	agudo de punta.	agudo na ponta	objetos
320	a	Yacatzapticayotl	agudeza de punta.	agudeza de ponta	objetos
320	a	Yacatztecuicuitlapul	mocoso.	ranhoso	corpo
320	a	Yacatzuntli	pelos de las narizes.	pelos do nariz	corpo
320	a	Yacauitic	narigudo de largas y anchas narizes.	narigudo de narizes largas	corpo
320	a	Yacauiltequi	quedar o atajar gente o ganado.	deter pessoas ou gado	movimento
320	a	Yacauitzauhca-yotl	agudeza de punta.	agudeza de ponta	objetos
320	a	Yacauitzauhqui	cosa que tiene aguda la punta.	coisa de ponta aguda	objetos
320	a	Yacauitzoa	hacer o aguzar punta.	fazer ou afiar ponta	trabalho
320	a	Yacauitztic	cosa aguda de púa, o puntiaguda.	coisa pontuda	objetos
340	a	Yollomaxiltia	niño satisfazerſe así mismo, creyendo ser así alguna cosa.	menino que se satisfaz acreditando algo	cognição
340	a	Yollomaxilti	satisfazer a otro desta manera.	satisfazer outra pessoa assim	cognição
340	a	Yollomiqui	rudo de entendimiento, o boto de ingenio.	rude de entendimento	cognição
340	a	Yollomimiquiliztli	mal de coraçon.	mal do coração	corpo
340	a	Yollomimiquini	tener mal de coraçon.	ter mal do coração	corpo
340	a	Yollomiquiliztli	rudeza de entendimiento o de ingenio.	rudeza de entendimento	cognição
340	a	Yollomococoa	no dolerme el coraçon.	não me dói o coração	corpo
340	a	Yollomotlaliztli	no afligarse echando de sí este temor.	não se afligir afastando o temor	emoções
340	a	Yollopachiuqui	satisf echo de la manera.	satisfeito dessa maneira	emoções
340	a	Yollopachiuini	no satisfazerſe de la duda que tenía.	não se satisfazer da dúvida	cognição
340	a	Yollopachiuitia	satisfazer a otro así.	satisfazer outra pessoa assim	relações
340	a	Yollopiltic	generoso y de noble condicion.	generoso e de condição nobre	sociedade
340	a	Yollopoconi	hazer ayrar a otro.	fazer outra pessoa irar-se	relações
340	a	Yollopoconiliztli	ira o turbacion y enojo.	ira, perturbação e enojo	emoções
340	a	Yollopoconi	no enojarse o ayrarse.	não se zangar	emoções
340	a	Yollopoconiqui	ayrado, o enojado, o hombre yracundo.	zangado; homem iracundo	emoções
340	a	Yollopoliuhcayotl	locura o desatino.	loucura ou desatino	cognição
340	a	Yollopoliuhqui	atreguado y desatinado.	perturbado e desatinado	cognição
340	a	Yollopoliuhiliztica	loca y desatinadamente.	desatinadamente	cognição
340	a	Yollopoliuhiliztli	locura, desairo, o desuario.	loucura ou desvario	cognição
340	a	Yolloqua	hechizar a otro.	enfeitiçar outra pessoa	religião
340	a	Yolloquimil	boto o rudo de entendimiento, o descuidado.	rude de entendimento ou descuidado	cognição
340	a	Yollotlaqua	endurеcerse y obstinarse en el mal.	endurecer-se e obstinar-se no mal	emoções
340	a	Yollotetecui	no dar golpes el coraçon o alterarse.	seu coração não bater forte ou alterar-se	corpo
340	a	Yollotetl	coſnate y animoso, o duro y obstinado.	corajoso e animoso; duro e obstinado	pessoas
